content,Score,Scoring String,Negativity,Positivity,Uncovered Tokens,Total Tokens,sentiment
their rights as guaranteed in the federal constitution that police violated to assemble peacefully to be informed of the grounds of their arrest to legal representation all denied when they were forced into black marias and access to their lawyers withheld lawan,-1.230769231,violated (-0.62)  peacefully (0.62)  arrest (-0.36)  legal (0.13)  denied (-0.49)  forced (-0.51),1.974358974,0.743589744,36,42,negative
love how asking police for grounds of action is considered riotous indecent disorderly or insulting maybe on the last part officers shouldn t assume people do not know their rights and we can all avoid this farce lawan,-0.487179487,love (0.82)  insulting (-0.56)  avoid (-0.31)  farce (-0.44),1.307692308,0.820512821,34,38,negative
participants of the vigil had three of their constitutional rights violated last thursday by the police but the authorities have the nerve to charge them and treat them as criminals disgusting lawan lawanintimidasi,-1.487179487,violated (-0.62)  treat (0.44)  criminals (-0.69)  disgusting (-0.62),1.923076923,0.435897436,29,33,negative
croissantuy lawan,0,,0,0,2,2,neutral
prof irwan's view from usim on the authority of the red ant army to do good deeds because god is against jabatanamal,0.846153846,authority (0.08)  good (0.49)  god (0.28),0,0.846153846,20,23,positive
afeef dzulkifli dg pun dah buat statement there s no kluster from perhimpunan lawan doesn t mean that we should do it often tapi lawan tetap lawan sampai bila lagi nak stay dekat takuk yang sama i worry about the future of this country and my,-0.794871795,no (-0.31)  worry (-0.49),0.794871795,0,44,46,negative
dont steal matshatry s look lawan,-0.564102564,steal (-0.56),0.564102564,0,5,6,negative
opponents vs volunteers black vs red which is the choice of young people clap their chests ask the red heart of the charity department because of god,1.564102564,heart (0.82)  charity (0.46)  god (0.28),0,1.564102564,24,27,positive
the opponent of lust who always feels himself is always right respect the views of others insyallah others will also respect our views the way young people pass opponents by giving help to those in need,1.871794872,respect (0.54)  respect (0.54)  giving (0.36)  help (0.44),0,1.871794872,32,36,positive
nalina and suja fights for all of us we need to show solidarity with their courage and bravery lawan,1,fights (-0.44)  solidarity (0.31)  courage (0.56)  bravery (0.56),0.435897436,1.435897436,15,19,positive
"the one who prays on a rock is criticized, the one who shows fu k while staring at the kinja when the opponent's assembly continues to be dumb, deaf and blind, then the ignorant one greets and fools people praying on a rock while vaping in the mouth by wearing a boxer without referring to the book of fiqh of prayer",-2.307692308,prays (0.36)  criticized (-0.38)  fu (-0.95)  dumb (-0.59)  blind (-0.44)  ignorant (-0.28)  greets (0.15)  fools (-0.56)  praying (0.38),3.205128205,0.897435897,56,65,negative
"if dominic toretto doesn't become a related family minister, we will go down on the streets of the opponent",0,,0,0,21,21,neutral
our fearless comrade sdri nalina nair nalinadap is summoned to duta court tomorrow to be charged under section of the police act due to her unlawful arrest made last thursday night during a peaceful vigil let s stand together in solidarity with her lawan,0.794871795,fearless (0.49)  charged (-0.21)  arrest (-0.36)  peaceful (0.56)  solidarity (0.31),0.564102564,1.358974359,39,44,positive
know that i am not intimidated and will not kowtow to such cowardly tactics to instil fear into those of us who demand good governance and better management of this covid pandemic a fight has been brought to me and i will take it on by it s horns lawan lawanintimidasi,-1.025641026,intimidated (-0.49)  cowardly (-0.41)  fear (-0.56)  demand (-0.13)  good (0.49)  better (0.49)  fight (-0.41),2,0.974358974,44,51,negative
charged over a candlelight vigil lawan,-0.205128205,charged (-0.21),0.205128205,0,5,6,negative
anwaribrahim ismailsabri lawan jalantegak,0,,0,0,4,4,neutral
my special assistant right hand lady and good friend nalinadap is being charged tomorrow at kl court for last week s candlelight vigil for the covid deceased peaceful assembly is not a crime solidarity lawan lawanintimidasi,2.076923077,special (0.44)  hand (0.56)  good (0.49)  friend (0.56)  charged (-0.21)  peaceful (0.56)  crime (-0.64)  solidarity (0.31),0.846153846,2.923076923,28,36,positive
"mugiwaraleo, as the old saying goes, people are used to liking god's opponents, he will fight and vice versa",0.307692308,liking (0.44)  god (0.28)  fight (-0.41),0.41025641,0.717948718,20,23,positive
on side note i still gomen and still think that we deserve better and masih lawan cause this isnt temporary battle,0.076923077,better (0.49)  battle (-0.41),0.41025641,0.487179487,19,21,positive
umno fans be like,0.384615385,like (0.38),0,0.384615385,3,4,positive
"oooo, the opponent doesn't pray, you pray",0.666666667,pray (0.33)  pray (0.33),0,0.666666667,8,10,positive
anwaribrahim ismailsabri change for better malaysia we don t need lawan on the street to spread the covid all we need is a leader who work a good cause,0.974358974,better (0.49)  good (0.49),0,0.974358974,27,29,positive
undisarawak lawan lawantetaplawan,0,,0,0,3,3,neutral
in the case of the fruit from the bearer to the bearer of the opponent tok ketegal mental illness from skin penusah doctor contract sereta case of death from majak niki opponent chara charged ngelaban all the problems tu peda sereta perati ba every sheet of the fruit of the matter tu nyadi opponent,-1.794871795,illness (-0.44)  death (-0.74)  charged (-0.21)  problems (-0.44)  matter (0.03),1.820512821,0.025641026,49,54,negative
"there is a reason for the existence of the tok opponent movement, from mental health, the issue of contract doctors is getting worse, to death cases, the opponent is still running, use the opponent, the cause of the tok problem, please go to the mok tauk hoist, what happened to the opponent",-1.384615385,worse (-0.54)  death (-0.74)  problem (-0.44)  please (0.33),1.717948718,0.333333333,56,60,negative
behind lawan there lie deliberate reasons for the movement existence from deteriorating mental health contract doctors issue to the increasing number of death cases lawan has been ongoing to fight the roots of these problems swipe left to find out what sparked lawan,-1.512820513,number (0.08)  death (-0.74)  fight (-0.41)  problems (-0.44),1.58974359,0.076923077,39,43,negative
firdausazil fahmi fadzil good start we don t need lawan to spread the covid all we need is to embrace the spirit of keluargamalaysia,1,good (0.49)  embrace (0.33)  spirit (0.18),0,1,21,24,positive
mxllan bg geng lawan apa yg jomamal buat tak havoc no thrill buat pun xpernah mana rasa havoc dan thrilll,-1.41025641,havoc (-0.74)  no (-0.31)  thrill (0.38)  havoc (-0.74),1.794871795,0.384615385,16,20,negative
"snippet of words in the film sultan agung, the dialogue is jan pieterszoon coen, many of the people of this nation are weak and afraid to face difficulties, more talk than do proud in the vortex of foreign invaders, opponents rise together, unite for indonesia",-0.256410256,weak (-0.49)  difficulties (-0.31)  proud (0.54),0.794871795,0.538461538,47,50,negative
today i discarded a fb friend who was extremely right winged i tolerated him even ignored but today he wrote about how the protestors who stood for better governance deserved what they got including police brutality laststraw lawan,-0.41025641,discarded (-0.36)  friend (0.56)  ignored (-0.33)  better (0.49)  brutality (-0.77),1.461538462,1.051282051,33,38,negative
nabil jam don't be a victim of politicians this is not the time for government opponents can't wait for the new election right,-0.282051282,victim (-0.28),0.282051282,0,24,25,negative
constitution just for the elite to abuse lawyer of lawan protestors says the nation has watched as ordinary citizens rights are restricted while vips do what they want with no repercussions,-1.461538462,abuse (-0.82)  restricted (-0.41)  want (0.08)  no (-0.31),1.538461538,0.076923077,27,31,negative
"i like the ending part, there aren't many questions, why if the opponent has a new question, hahaha, relax, ask for another question, there's sorg, until now, hiding",1.230769231,like (0.38)  hahaha (0.67)  relax (0.49)  hiding (-0.31),0.307692308,1.538461538,34,38,positive
ph agrees to cooperate with mael don't ask for positions don't threaten focus only on the people and covid that's the difference between our struggle with pn ie umno pas bersatu cartel ismail sabri and umno there may be political ploys,-0.538461538,agrees (0.21)  threaten (-0.41)  struggle (-0.33),0.743589744,0.205128205,41,44,negative
tun is watching pejuang is watching berhati ya lawan pru pm,0,,0,0,11,11,neutral
pm yb kelvinyii blasts gps for supporting the party their voters rejected in lawyer of lawan protestors says citizens rights are restricted while the elite abuse their power listeners fear power mad umno and blame gps for helping corrupt leaders return to power,-2.076923077,supporting (0.49)  party (0.44)  rejected (-0.59)  restricted (-0.41)  abuse (-0.82)  fear (-0.56)  mad (-0.56)  blame (-0.36)  helping (0.31),3.307692308,1.230769231,34,43,negative
"rashidyusoff oh journalist, even if you oppose a lot of questions hahaha",0.666666667,hahaha (0.67),0,0.666666667,12,13,positive
bumilangit we follow the leadership of xpe for the sake of the people don't get hit by twis already opponents are still against pru,0,,0,0,25,25,neutral
my year old student wanted to have a discussion about lawan amp kerajaangagal for their english speaking class today since the theme was a debate,0,,0,0,25,25,neutral
at the end of the day what we re all fighting against is the pandemic even if one person or an entire institution gets out of line to protect the country how is this justifiable when you re putting the lives of others around you and especially frontliners at risk lawan,-0.256410256,fighting (-0.38)  protect (0.41)  risk (-0.28),0.666666667,0.41025641,48,51,negative
will come back later ye opponent,0,,0,0,6,6,neutral
adiburhan power ah since the opponent,0,,0,0,6,6,neutral
hasanzamzuri jalalmisai fahmi fadzil zack rockstar paspusat bila takiyuddin nk ajak turun padang merbok vserta lawan,0,,0,0,16,16,neutral
the people's solidarity secretariat managed to collect rm donations within a day the donations involved transactions by people whose average amount of rm also contributed with the value of rm and rm sharafiasraf compound opponent ssr airtimes,0.666666667,solidarity (0.31)  value (0.36),0,0.666666667,36,38,positive
adilyaww pegi lawan laa,0,,0,0,4,4,neutral
apanakdikato lawan,0,,0,0,2,2,neutral
congratulations red army youth opponent,0.743589744,congratulations (0.74),0,0.743589744,4,5,positive
fish fight fish opponent,-0.41025641,fight (-0.41),0.41025641,0,3,4,negative
raise the flag mourn the new norm embrace the difference disgust the corrupted al fatihah buat malaysia negaraku kerajaangagal lawan,-0.871794872,mourn (-0.46)  embrace (0.33)  disgust (-0.74),1.205128205,0.333333333,17,20,negative
izrannaquib the enemy of the people is supposed to be covid than a good opponent go so volunteer in ppv,-0.153846154,enemy (-0.64)  good (0.49),0.641025641,0.487179487,18,20,negative
opponent vs sukare your opponent choose which one,0,,0,0,8,8,neutral
have you had your re education today lawan don t be shy the link doesn t bite,-0.256410256,shy (-0.26),0.256410256,0,16,17,negative
ni lawan natural disaster ka lawan membalakbersamaulamak,-0.41025641,natural (0.38)  disaster (-0.79),0.794871795,0.384615385,5,7,negative
khairul nadzir sukare lawan,0,,0,0,4,4,neutral
beza anda dengan kami lawan amal,0,,0,0,6,6,neutral
sampah busuk mintak tlg mana yg nak lawan tu bantu la sampah ni dlu kahkahkah bbnu,0,,0,0,16,16,neutral
benda nilah yang paling nuha takut regarding dis incompetent government sebab tu kita lawan education pun tunggang langgang inikan kehidupan anak anak tak bersalah ni stop la taksub plis jangan butakan mata tu sebab kite selesaa punya semuanya sedih tau,-0.846153846,incompetent (-0.54)  stop (-0.31),0.846153846,0,38,40,negative
izzywafi demi bertanding pru lawan hahaha,0.666666667,hahaha (0.67),0,0.666666667,5,6,positive
syedsaddiq mohon saddiq dahulu kan duit rakyat yg di kumpul untuk saddiq kemarin di gunakan utk ngo ni bayar kompaun mereka ni muda lawan,0,,0,0,24,24,neutral
anonymoussxk suh dia resign lawan,-0.358974359,resign (-0.36),0.358974359,0,4,5,negative
yakin je dia ingat muslim yg join lawan tu semua tak solat eh,0.307692308,join (0.31),0,0.307692308,12,13,positive
izwansajjer laaahhhhh kenapa tak lawan je utk tidak bayar saman k tu,0,,0,0,12,12,neutral
womenpower womenforpm change lawan kerajaangagal,0,,0,0,5,5,neutral
ini sukare lawan,0,,0,0,3,3,neutral
lawan fundraising collects nearly rm to pay for legal fees of activists nabbed during candlelight vigil malay mail malaysia,0.025641026,pay (-0.10)  legal (0.13),0.102564103,0.128205128,17,19,positive
waktu mula membaca beberapa kisahlawan yang dikirim tidak ada satu anekdot pun di dalamnya yang berasa asing semuanya kisah kita moga dengan berbagi cerita kita juga berbagi rasa bersama untuk me lawan masih boleh berkongsi cerita di,0,,0,0,37,37,neutral
mantul lah sis ynwa lawan,0,,0,0,5,5,neutral
dekat twitter ni cukup suka support orang yang suka buat onar demo ke lawan bagai bila dah start mintak sedekah buat taik melayu twitter pun jadi taik tak tetap pendirian amp teruskan cari point lain nak condemn kerajaan jam,0.025641026,support (0.44)  condemn (-0.41),0.41025641,0.435897436,37,39,positive
lawan fundraising collects nearly rm to pay for legal fees of activists nabbed during candlelight vigil,0.025641026,pay (-0.10)  legal (0.13),0.102564103,0.128205128,14,16,positive
lawan vs sukarelawan which one r u,0,,0,0,7,7,neutral
this brilliant piece by zurairi trails how foreign conspiracy theorists malign actors target lawan movement and youth activists to drive the narrative of imagined us hands behind our youths agency for reforms change in the wake of political instability,0.102564103,brilliant (0.72)  conspiracy (-0.62),0.615384615,0.717948718,37,39,positive
semalam duk compare ngan peserta lawan harini dah kena balik,0,,0,0,10,10,neutral
lawan fundraising collects nearly rm to pay legal fees,0.025641026,pay (-0.10)  legal (0.13),0.102564103,0.128205128,7,9,positive
kisahlawan serves to be a record and source of inspiration for would be protesters future historians and all who will carry on our struggle to lawan submit your stories here,0.051282051,inspiration (0.62)  protesters (-0.23)  struggle (-0.33),0.564102564,0.615384615,27,30,positive
our first kisahlawan release features stories of struggle doubt anger and hope also included are graphics from various artists who have contributed their works to the lawan cause read their stories here,-0.923076923,struggle (-0.33)  doubt (-0.38)  anger (-0.69)  hope (0.49),1.41025641,0.487179487,28,32,negative
ikan lawan,0,,0,0,2,2,neutral
boleh dah kot hantar ke palestine lawan dgn zionist laknatullah hihi paspusat,0,,0,0,12,12,neutral
malaysiakini guanenglim syedsaddiq sprmmalaysia ismailsabri umnoonline dapmalaysia pdrmsia it surprised me that none of the government agencies i tagged asked me any questions either that means they know muhyiddin is that scum deep state head,0.230769231,surprised (0.23),0,0.230769231,34,35,positive
demonstration lawan tak jaga sop ni jaga sop ke,0.102564103,demonstration (0.10),0,0.102564103,8,9,positive
amal vs lawan,0,,0,0,3,3,neutral
sukarelawan vs lawan,0,,0,0,3,3,neutral
lawan raises rm to pay police compounds,-0.102564103,pay (-0.10),0.102564103,0,6,7,negative
halu cikgu sejarah tau tak org pi protest lawan tu bukan saja saja nak kena saman ek sbb kerajaan abah kau yg cikgu support tu lembab dan gagal berpuluh ribu org mati takde kerja tak cukup makan bunuh diri pastu nak duduk diam je kita kena hormati pemimpin pui dislike,-0.230769231,protest (-0.26)  support (0.44)  dislike (-0.41),0.666666667,0.435897436,47,50,negative
i m not celebrating independence day this year lawan,0.692307692,celebrating (0.69),0,0.692307692,8,9,positive
rockthatbabe jangan jadi mangsa politikus ini bukan masa untuk lawan kerajaan tak boleh tunggu election ke baru betul,0,,0,0,18,18,neutral
sukarelawan vs demo lawan anak muda kena matang berfikir anak muda pelapis pemimpin negara sukarelawan lawan semutmerah memimpinnegara beramalkeranaallah,0,,0,0,19,19,neutral
cikgu tau tak protest lawan haritu takde case covid tau saja nak cakap apahal tak saman mp umno keluar masuk rumah mahiadin tu jadi cikgu kena transparent le apo,-0.256410256,protest (-0.26),0.256410256,0,28,29,negative
latest in beritabarunakup on mon with lawan are malaysian youths next on anti democracy propagandists sights on how foreign conspiracy theorists are using same tactics on youth protesters now against our own,-1.179487179,anti (-0.33)  conspiracy (-0.62)  protesters (-0.23),1.179487179,0,29,32,negative
kalau dia refer to lawan as street protesters that are also master spreader mesti tak baca news eh hellooooo dg sendiri cakap takde kluster from lawan ya bangang,-0.230769231,protesters (-0.23),0.230769231,0,27,28,negative
tapi doktor ayat ni tak cukup panjang macam doktor tulis caption gambar perhimpunan lawan tu,0,,0,0,15,15,neutral
banyak betul anti lawan yeah they live peacefully la kot kalau tak memang bodo jgak la sanggup kena tindas,0.58974359,anti (-0.33)  yeah (0.31)  peacefully (0.62),0.333333333,0.923076923,16,19,positive
in less than hours the lawan rally organisers managed to raise more than rm k for their legal fees amp compounds absolutely inspiring the people want the movement to be alive thanks for fighting takterqyira tharmapillai sharafiasraf amp gang good job ppl of,1.666666667,legal (0.13)  inspiring (0.46)  want (0.08)  alive (0.41)  thanks (0.49)  fighting (-0.38)  good (0.49),0.384615385,2.051282051,36,43,positive
amirxabdhadi you and your peers are the future of this country protect the nation well now as what you sow now is what you will reap in the future lawan muda,0.692307692,protect (0.41)  well (0.28),0,0.692307692,29,31,positive
kimak punya melayu anjing pun benci sebab melayu racist hina betul melayu ni papehal kita lawan turun ke jalanan lawan kleptokrat lawan lawanintimidasi,-0.769230769,racist (-0.77),0.769230769,0,22,23,negative
t leeken malaysia has no working cabinet and ministers unlike those countries your lawan protestors wanted the pm to resign and he did remember,-0.666666667,no (-0.31)  resign (-0.36),0.666666667,0,22,24,negative
hermyrahim mail lamborgini kenapa nak rasa diperli kan takkan lawan tu puak paling woke je boleh pakai kan,0,,0,0,18,18,neutral
zaireewewd khairul nadzir laa orang lain takleh pakai ke lawan tu mmg puak paling woke je ke boleh pakai,0,,0,0,19,19,neutral
ahmadnazirmazmi khairul nadzir sama lah tempat kami kalau demo macam demo baju hitam haritu kami tak panggil lawan kami panggil memberontak monyet menyusahkan,0,,0,0,23,23,neutral
funny thing when people criticize about lawan as i remembered correctly there was a protest where people wore red shirt around kl area i was looked at for not wearing one when i was in lrt i don t support things that are useless,-0.205128205,funny (0.49)  criticize (-0.41)  protest (-0.26)  support (0.44)  useless (-0.46),1.128205128,0.923076923,39,44,negative
cnpp to lawan your advice against external borrowing smack of incompetence news nigeria cnpp lawan nigeria s borrowings,-0.58974359,incompetence (-0.59),0.58974359,0,17,18,negative
cuteseortell stray kids ptuiiiiiii maleh ku lawan,0,,0,0,7,7,neutral
pergi balai pakai baju tu lawan,0,,0,0,6,6,neutral
there are already so few ngos working on the lawan movement on top of that resources particularly human resources are incredibly limited due to the limited funds these orgs have to hire people and the high risk profile of being someone who works with a revolutionary org,-0.538461538,top (0.21)  limited (-0.23)  limited (-0.23)  risk (-0.28),0.743589744,0.205128205,43,47,negative
semut merah ni bila ada je rakyat ditimpa musibah ada je diorang ni ok hangpa geng baju merah ka baju hitam lawan malaysiaprihatin,0.307692308,ok (0.31),0,0.307692308,22,23,positive
ni bukan yg marah budak lawan tu ke,0,,0,0,8,8,neutral
i miss muhyiddin the only people that not involved mdb or kes sprm and kena pecat dari timbalan sebab taknak rasuah sekali then kena pecat dari perdana menteri sebab lawan natang tu letsdie,-0.153846154,miss (-0.15),0.153846154,0,32,33,negative
muda harapan negara go for it amp remain steadfast in your ideals amp struggles for what is right for the people especially the younger generation you represent amp for our country as a whole lawan tetap lawan muda berjiwa rakyat amp berwawasan untuk negara tercinta amp bangsa sejati,0.076923077,steadfast (0.26)  ideals (0.21)  struggles (-0.38),0.384615385,0.461538462,45,48,positive
all the best and good luck for your future endeavour lawan anywhere you are,1.820512821,best (0.82)  good (0.49)  luck (0.51),0,1.820512821,11,14,positive
khairul nadzir lawan ko ade,0,,0,0,5,5,neutral
god speed brother amir semoga maju jaya di soas dan kembali ke tanah air dan kembali lawan bersama kami semua,0.282051282,god (0.28),0,0.282051282,19,20,positive
cara budak muda pas lawan kau ade pasir puteh,0,,0,0,9,9,neutral
this idiot is the cause of the covid spikes confusing sops and double standards in malaysia vot the mfcker out in the next ge kerajaangagal lawan,-0.820512821,idiot (-0.59)  confusing (-0.23),0.820512821,0,24,26,negative
jauhnya beza mereka dgn budak lawan tunggangan dap ph,0,,0,0,9,9,neutral
day feat lawan group raises nearly rm in donations,0,,0,0,9,9,neutral
shows how much support this movement actually has helped many of us who were silenced by fear to come back stronger and voice out thank you for being our voice together we lawan,0.666666667,support (0.44)  fear (-0.56)  stronger (0.41)  thank (0.38),0.564102564,1.230769231,29,33,positive
terkini kempen tabung bantuan guaman amp kompaun lawan berjaya meraih sumbangang sebanyak rm yang melibatkan transaksi oleh penyumbang,0,,0,0,18,18,neutral
magmalaya bergantung kpd orang muda sebelah mana kalau kaki lawan tu biasanya bila mati hujah maki hamun atau block sbg tanda setuju dan terima kasih memang garang darah mudalah katakan,-0.487179487,block (-0.49),0.487179487,0,29,30,negative
sokongan luar biasa rakyat malaysia mendukung lawan kutipan sebanyak rm dalam masa sehari bagi menampung kos guaman amp kompaun vigil dataran ogos tidak ada patah balik dalam per lawan an demokrasi sepenuhnya,0,,0,0,32,32,neutral
kita lawan bersama dikeluarkan oleh sekretariat solidariti rakyat,0,,0,0,8,8,neutral
in just hours lawan rally organisers raised a total of rm sekretariat solidariti rakyat has now ended their crowdfunding campaign,0,,0,0,20,20,neutral
solidariti mengatasi intimidasi terima kasih buat setiap sen yang disumbangkan ssr akan mengumumkan segala perbelanjaan dengan rinci kelak lawan,0,,0,0,19,19,neutral
hampir rm disumbang oleh rakyat malaysia bagi mendukung gerakan lawan ekoran dari penahanan peserta vigil dataran tempohari tahniah amp terima kasih buat semua yang menyumbang panjang umur perlawanan,0,,0,0,28,28,neutral
terima kasih semua lawan,0,,0,0,4,4,neutral
terima kasih rakyat malaysia terus setia dan percaya transaksi segala butiran dan perincian akan kami keluarkan dalam masa terdekat lawan,0,,0,0,20,20,neutral
terima kasih kepada semua yang menyumbang setakat ini tabung sumbangan kos denda dan guaman lawan telah mengumpulkan sebanyak rm dari rakyat malaysia tak dapat kami membalas jasa anda kecuali dengan terus lawan,0,,0,0,32,32,neutral
solidariti mengalahkan intimidasi terima kasih kepada beratus rakyat malaysia yang menderma dan berpuluh ribu lagi yang menyokong kami berani berjuang kerana anda mari terus lawan,0,,0,0,25,25,neutral
kenyataan media sekretariat solidariti rakyat ogos terima kasih rakyat malaysia kerana setia dan percaya lawan,0,,0,0,15,15,neutral
speechless terima kasih semua kerana lawan bersama,0,,0,0,7,7,neutral
imabadb armand hmetromy bodoh sial pundek armand lanciao tadi tau goyang delete tweet nak jilat politaik pakatan hancing kau pun beragak la machia lawan myass puihh byr lawyer pun kutip derma fakoff la,0,,0,0,33,33,neutral
this should not be happening the numbers just too scary to be acknowledged lawan,-0.564102564,scary (-0.56),0.564102564,0,13,14,negative
donadam rugi rakyat gk dpt duit kampanye lawan,0,,0,0,8,8,neutral
akar umbi okay je tak dinafikan kerja tip top volunteer perform tapi bila tang kepimpinan tertinggi paling hauklah hauk lawan dengan pemuda pas dan jabatan amal ni eloklah duduk open talk table sekali musuh merupakan partner yang bagus kata bawa suara anak muda lol,0.897435897,okay (0.23)  top (0.21)  lol (0.46),0,0.897435897,41,44,positive
yg ni boleh siap takde social distance pakai mask tak betul siap ada banner lagi kalau perhimpunan lawan jaga sop semua kena saman hahaha oh malaysiaku,0.666666667,hahaha (0.67),0,0.666666667,25,26,positive
jangan kendur kita fighter lawan,0.153846154,fighter (0.15),0,0.153846154,4,5,positive
congrats to you lawan,0.615384615,congrats (0.62),0,0.615384615,3,4,positive
puok puok ni dok gi berhimpun lawan hari tu deme ning g tolong bersih sisa banjir tau tu tau ah,0,,0,0,20,20,neutral
nya kebuah kami deka mantai ka kita senentang pekara lawan tuk tau perati ka infografik ti dipejurai ka enggau silik peda sereta perati ba setiap lambar ti nerangka pekara iti utai ti deka dituntut undisarawak ig azimoyunuso amirahhaziqah akmal photos,0,,0,0,40,40,neutral
maia julai empai lama raban nembiak bisi nurun begempuro ba jalai alun lalu bekena ke baju bechura chelum ti mantai ka tanda protes tauka dikumbai urang lawan taja pia mayuh bala enda nemu nama kebuah sereta tuju urang ngaga pengawa nya ig jigleepaff lex lai,0,,0,0,45,45,neutral
oleh ya mek orang dah sediakan infografik untuk menerangkan perkara tok iboh jadi katak dibah tempurung silak pergi kerek untuk tauk tuntutan utama lawan undisarawak ig azimoyunuso amirahhaziqah akmal photos,0,,0,0,30,30,neutral
pada julai anak muda malaysia telah turun ke jalan dalam pakaian serba hitam untuk protes lawan namun begitu masih rami yang sik paham kenak urang gago mok lawan lagik lagik masa pandemik ig jigleepaff lex lai,0,,0,0,36,36,neutral
hence we have prepared a series of infographics to shed light on the matter stay in the know by swiping left to find out the main lawan demands undisarawak ig azimoyunuso jigleepaff lex lai,0.256410256,prepared (0.23)  matter (0.03),0,0.256410256,32,34,positive
on the st of july malaysians took to the streets in black and lawan however many remain in the dark regarding the reasons why people lawan and its urgency ig jigleepaff lex lai,0,,0,0,33,33,neutral
amal baik me lawan hawa nafsu,0,,0,0,6,6,neutral
